Name,Artist,Start,End,Keywords
Eighty-eight days in my veins,Esbjörn Svensson Trio,7,10,E.S.T. Songbook
Eighthundred streets by feet,Esbjörn Svensson Trio,11,13,E.S.T. Songbook
Behind the yashmak,Esbjörn Svensson Trio,14,15,E.S.T. Songbook
"Believe, beleft, below",Esbjörn Svensson Trio,16,16,E.S.T. Songbook
When god created the coffeebreak,Esbjörn Svensson Trio,17,20,E.S.T. Songbook
Dodge the dodo,Esbjörn Svensson Trio,21,24,E.S.T. Songbook
Dolores in a shoestand,Esbjörn Svensson Trio,25,26,E.S.T. Songbook
Elevation of love,Esbjörn Svensson Trio,27,29,E.S.T. Songbook
From Gagarin's point of view,Esbjörn Svensson Trio,30,30,E.S.T. Songbook
Goldwrap,Esbjörn Svensson Trio,31,32,E.S.T. Songbook
Mingle in the mincing-machine,Esbjörn Svensson Trio,33,35,E.S.T. Songbook
Pavane - thoughts of a septuagenarian,Esbjörn Svensson Trio,36,37,E.S.T. Songbook
Seven days of falling,Esbjörn Svensson Trio,38,40,E.S.T. Songbook
Spam-boo-limbo,Esbjörn Svensson Trio,41,45,E.S.T. Songbook
The goldhearted miner,Esbjörn Svensson Trio,46,47,E.S.T. Songbook
The rube thing,Esbjörn Svensson Trio,48,48,E.S.T. Songbook
The unstable table & the infamous fable,Esbjörn Svensson Trio,49,52,E.S.T. Songbook
Tide of trepidation,Esbjörn Svensson Trio,53,56,E.S.T. Songbook
Tuesday wonderland,Esbjörn Svensson Trio,57,60,E.S.T. Songbook
Viaticum,Esbjörn Svensson Trio,61,67,E.S.T. Songbook
